key,name,subject_type,title,edition_count,subject,authors
/subjects/picture_books,picture books,subject,The Gruffalo,64,"Animals,Juvenile fiction,Fiction,Stories in rhyme,Mice,Children’s Picture Books,Children: Kindergarten,Children's fiction,Mice, fiction,Monsters, fiction,Animals, fiction,Puzzles,Puzzles, juvenile literature,Pictorial works,Child and youth fiction,Picture books,Gruffalo (Fictitious character),Tricksters,Monsters,Animales-,Cuentos-,Libros infantiles,Lengua inglesa-,Libros infantiles y juveniles,Lecturas-,Ingelesa-,Haur eta gazteentzako liburuak,Irakurgaiak-,Accessible book,Protected DAISY",Julia Donaldson
/subjects/picture_books,picture books,subject,Make Way for Ducklings,56,"Juvenile fiction,Fiction,Picture books for children,Ducks,Braille,Caldecott Medal,Children's stories,Japanese language books,Picture books,ducklings,illustration,kid's books,Caldecott medal book,Big books,Oversize books,Specimens,Blind,Books and reading,Animals,Family,Ducks, Geese,3.1.,Caldecott Medal books,Classics,Accelerated Reader,Children's fiction,Ducks, fiction,Boston (mass.), fiction,Accelerated Reader - 3.1.,Family life,Children's stories, American,Harmonica,Children's audiobooks,Audiobooks,Short stories,Patos,Ficción juvenil,Spanish language materials,Reading materials,City & Town Life,Spanish language,Novela juvenil,Legends, Myths, Fables,collectionID:caldecott40,Accessible book,Protected DAISY",Robert McCloskey
/subjects/picture_books,picture books,subject,La Petite Sirene (French Well Loved Tales),54,"Contes danois,Fairy tales,Mermaids,Fiction,Children's stories, Danish,Translations into English,Coloring books,Translations into Russian,Children's audiobooks,Translations into Marathi,Fairytales,Juvenile fiction,Tales,Plays,Children's plays,Children's fiction,Mermaids, fiction,Children's stories, English,Musical books,Sound effects books,Specimens,Picture puzzles,Toy and movable books,Picture books,Hans Christian Anderson (1805-1875),Easy reading,Kids,Children,Children's,Juvenile,Books,Picture Books,Stories,Folklore,Fables,Fantasy,Accessible book,Protected DAISY","Hans Christian Andersen, Yayoi Kusama, Bernadette Watts"
/subjects/picture_books,picture books,subject,Green Eggs and Ham,54,"1960-1988,Dr. Seuss,Beginner Books,I Can Read It All By Myself,Green Eggs and Ham,Audio-Cassette included,First time readers,English,2-3 years,Pre-school,Children's,Stories,Books,In rhymes,Rhyming,Fiction,Juvenile Fiction,Picture books,Food,Eggs,Ham,Food habits,Open Library Staff Picks,Nonsense verses,Specimens,Children's fiction,Humorous stories,Stories in rhyme,Food, fiction,Large type books,Latin language,Readers,Latin language materials,Food preferences,Children's stories,Juvenile poetry,Vocabulary,Classics,Reader,Beginner,PICTURE LIONS,Jig Story,4,Jigsaw,Puzzles,20,Activities,Chamber music,Accessible book,Protected DAISY",Dr. Seuss
/subjects/picture_books,picture books,subject,Little Bear,54,"Mothers and sons,Madres e hijos,Little Bear (Fictitious character : Minarik),Bears,Juvenile literature,Fiction,Osos,Ficción juvenil,Children's stories,Friendship,Juvenile fiction,Children's fiction,Bears, fiction,Mothers and sons, fiction,Little bear (fictitious character : minarik), fiction,Picture books,Reading list,Hockaday,Before kindergarten,Reading List,UP Elementary,Entering 2nd grade,Spanish language materials,Literature and fiction, juvenile,Accessible book,Protected DAISY","Else Holmelund Minarik, Maurice Sendak"
/subjects/picture_books,picture books,subject,Frog and Toad Together,53,"amistad,animals,best friends,children's fiction,children's short stories in english,children's stories,classics,cookies,courage,dragons,easy books,emotions & feelings,ficción juvenil,fiction,friendship,frogs,frogs & toads,frogs, fiction,gardens,giants,humor & funny stories,juvenile audience,juvenile fiction,juvenile works,kindness,loyalty,newbery honor,sharing & cooperating,ouvrages pour la jeunesse,pictorial works,picture books,primary school,ranas,readers,sapos,sharing,short stories,social themes,Spanish language,toads,Children's fiction,Frogs, fiction,Picture books,Friendship,Juvenile fiction,Frogs,Toads,Fiction,JUVENILE FICTION,Animals,Frogs & Toads,Social Themes,Emotions & Feelings,Children's stories,Frog and toad (fictitious characters), fiction,Literature and fiction, juvenile,Accessible book,Protected DAISY",Arnold Lobel
/subjects/picture_books,picture books,subject,Die schönsten Märchen,53,"Fairy tales,Fiction,Nightingale,Nightingales,Children's stories, Danish,Translations into Russian,Translations into English,Juvenile fiction,Cuentos de hadas,Ficción juvenil,Juvenile literature,Ruiseñores,Danish literature,Children's literature, Danish,Literature and fiction, juvenile,Nightingale in fiction,Nightingales in fiction,Monasticism and religious orders for women,Vocation (in religious orders, congregations, etc.),Children's fiction,Birds, fiction,Readers,Picture books,Picture books for children,Accessible book","Hans Christian Andersen, Jin-kyeong Lee"
/subjects/picture_books,picture books,subject,Corduroy,52,"Chinese language materials,Corduroy (Fictitions character),Day,Department stores,Fiction,Juvenile fiction,Picture books,Teddy bears,Toys,Percussion instruments,Motor learning,Children's fiction,Toys, fiction,Corduroy (fictitious character), fiction,Bears, fiction,Fantasy,Corduroy (Fictitious character),Pictorial works,Juguetes,Bears,Osos,Ficción juvenil,Osos de felpa,Picture books for children,Spanish language materials,Friendship, fiction,Children's stories,Corduory(Fictitious character),Friendship,African American girls,Teddy bears, fiction,Department stores, fiction,Toy and movable books,Accessible book,Protected DAISY",Don Freeman
/subjects/picture_books,picture books,subject,The emperor's new clothes,52,"Juvenile fiction,Fairy tales,Pride and vanity,Fiction,Polyglot texts, selections, quotations,Children's stories, Danish,Children: Preschool,Children's 4-8,Children's Books/Ages 4-8 Fiction,Classics,Non-Classifiable,Fairy Tales & Folklore - Single Title,Fairy Tales & Folklore - General,Aristocracy (Social class),Statesmen,Tailors,Emperors,Children's fiction,Kings, queens, rulers, etc., fiction,Behavior, fiction,Clothing and dress, fiction,Clothing and dress,Children's stories,Classic Fairy Tales,Tailors, fiction,Picture books,Danish Fairy tales,Spanish language materials,Translations into English,Comic and Graphic Books,Deception,Korean language materials,Accessible book,Protected DAISY","Hans Christian Andersen, E Tharlet, H. Anderson, Virginia Lee Burton, Starbright Foundation Staff, Jeffrey Stewart Timmins, Stephanie True Peters"
/subjects/picture_books,picture books,subject,Frederick,51,"Children's stories,Fairy tales,Juvenile fiction,Mice,Mice in fiction,Imagination,Sharing,Families,Winter,Fiction,Accelerated Reader 3.5.,Children's fiction,Picture books,Fiction, general,Turkish language materials,Mice, fiction,collectionID:caldecotthonor60,Spanish language materials,Ratones,Estaciones del año,Novela infantil,Accessible book,Protected DAISY",Leo Lionni
